areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-10-21,1209,810467
overview,United Kingdom,K02000001,2020-10-20,13057,809258
overview,United Kingdom,K02000001,2020-10-19,23517,796201
overview,United Kingdom,K02000001,2020-10-18,13928,772684
overview,United Kingdom,K02000001,2020-10-17,14617,758756
overview,United Kingdom,K02000001,2020-10-16,17645,744139
overview,United Kingdom,K02000001,2020-10-15,18321,726494
overview,United Kingdom,K02000001,2020-10-14,19690,708173
overview,United Kingdom,K02000001,2020-10-13,18872,688483
overview,United Kingdom,K02000001,2020-10-12,19400,669611
overview,United Kingdom,K02000001,2020-10-11,12035,650211
overview,United Kingdom,K02000001,2020-10-10,12522,638176
overview,United Kingdom,K02000001,2020-10-09,15738,625654
overview,United Kingdom,K02000001,2020-10-08,18244,609916
overview,United Kingdom,K02000001,2020-10-07,18328,591672
overview,United Kingdom,K02000001,2020-10-06,17065,573344
overview,United Kingdom,K02000001,2020-10-05,16539,556279
overview,United Kingdom,K02000001,2020-10-04,11784,539740
overview,United Kingdom,K02000001,2020-10-03,11541,527956
overview,United Kingdom,K02000001,2020-10-02,13675,516415
overview,United Kingdom,K02000001,2020-10-01,13178,502740
overview,United Kingdom,K02000001,2020-09-30,12542,489562
overview,United Kingdom,K02000001,2020-09-29,10247,477020
overview,United Kingdom,K02000001,2020-09-28,9920,466773
overview,United Kingdom,K02000001,2020-09-27,6975,456853
overview,United Kingdom,K02000001,2020-09-26,6755,449878
overview,United Kingdom,K02000001,2020-09-25,7253,443123
overview,United Kingdom,K02000001,2020-09-24,7611,435870
overview,United Kingdom,K02000001,2020-09-23,7052,428259
overview,United Kingdom,K02000001,2020-09-22,6417,421207
overview,United Kingdom,K02000001,2020-09-21,5591,414790
overview,United Kingdom,K02000001,2020-09-20,5315,409199
overview,United Kingdom,K02000001,2020-09-19,4860,403884
overview,United Kingdom,K02000001,2020-09-18,4964,399024
overview,United Kingdom,K02000001,2020-09-17,4632,394060
overview,United Kingdom,K02000001,2020-09-16,4370,389428
overview,United Kingdom,K02000001,2020-09-15,3556,385058
overview,United Kingdom,K02000001,2020-09-14,3392,381502
overview,United Kingdom,K02000001,2020-09-13,2145,378110
overview,United Kingdom,K02000001,2020-09-12,2672,375965
overview,United Kingdom,K02000001,2020-09-11,3291,373293
overview,United Kingdom,K02000001,2020-09-10,3598,370002
overview,United Kingdom,K02000001,2020-09-09,3330,366404
overview,United Kingdom,K02000001,2020-09-08,3303,363074
overview,United Kingdom,K02000001,2020-09-07,3863,359771
overview,United Kingdom,K02000001,2020-09-06,2446,355908
overview,United Kingdom,K02000001,2020-09-05,2547,353462
overview,United Kingdom,K02000001,2020-09-04,3038,350915
overview,United Kingdom,K02000001,2020-09-03,3100,347877
overview,United Kingdom,K02000001,2020-09-02,2997,344777
overview,United Kingdom,K02000001,2020-09-01,2251,341780
overview,United Kingdom,K02000001,2020-08-31,1500,339529
